1.50294E+18,1000000,8/17/17,17395.16667,date,,balance,date,balance,,
1.50338E+18,462255.8201,,,8/22/17,500298.3204,1000596.641,8/22/17,1000596.641,,
1.50338E+18,462255.8201,,,8/22/17,462255.8201,924511.6402,8/22/17,924511.6402,,
1.50338E+18,500133.1953,,,8/22/17,462255.8201,924511.6402,8/22/17,924511.6402,,
1.5034E+18,514151.4895,,,8/22/17,500133.1953,1000266.391,8/22/17,1000266.391,,
1.50341E+18,508234.8324,,,8/22/17,514151.4895,1028302.979,8/22/17,1028302.979,,
1.50341E+18,508102.748,,,8/22/17,508234.8324,1016469.665,8/22/17,1016469.665,,
1.50343E+18,500532.4103,,,8/22/17,508102.748,1016205.496,8/22/17,1016205.496,,
1.50371E+18,492292.1382,,,8/22/17,500532.4103,1001064.821,8/22/17,1001064.821,,
1.50372E+18,492292.1382,,,8/26/17,492292.1382,984584.2764,8/26/17,984584.2764,,
1.50372E+18,494299.7048,,,8/26/17,492292.1382,984584.2764,8/26/17,984584.2764,,
1.50372E+18,492094.417,,,8/26/17,494299.7048,988599.4096,8/26/17,988599.4096,,
1.50372E+18,492170.4675,,,8/26/17,492094.417,984188.834,8/26/17,984188.834,,
1.50373E+18,491413.352,,,8/26/17,492170.4675,984340.9349,8/26/17,984340.9349,,
1.50373E+18,491398.1734,,,8/26/17,491413.352,982826.704,8/26/17,982826.704,,
1.50377E+18,489932.3247,,,8/26/17,491398.1734,982796.3468,8/26/17,982796.3468,,
1.50377E+18,485934.3951,,,8/26/17,489932.3247,979864.6493,8/26/17,979864.6493,,
1.50391E+18,492608.8725,,,8/26/17,485934.3951,971868.7903,8/26/17,971868.7903,,
1.50414E+18,556586.3101,,,8/28/17,492608.8725,985217.7449,8/28/17,985217.7449,,
1.50415E+18,553030.8687,,,8/31/17,556586.3101,1113172.62,8/31/17,1113172.62,,
1.50417E+18,551743.6866,,,8/31/17,553030.8687,1106061.737,8/31/17,1106061.737,,
1.50425E+18,556802.9029,,,8/31/17,551743.6866,1103487.373,8/31/17,1103487.373,,
1.50432E+18,539739.5866,,,9/1/17,556802.9029,1113605.806,9/1/17,1113605.806,,
1.50445E+18,491694.7558,,,9/2/17,539739.5866,1079479.173,9/2/17,1079479.173,,
1.50449E+18,506188.384,,,9/3/17,491694.7558,983389.5116,9/3/17,983389.5116,,
1.5045E+18,511167.0039,,,9/4/17,506188.384,1012376.768,9/4/17,1012376.768,,
1.5045E+18,513813.4394,,,9/4/17,511167.0039,1022334.008,9/4/17,1022334.008,,
1.5045E+18,515524.4284,,,9/4/17,513813.4394,1027626.879,9/4/17,1027626.879,,
1.5045E+18,516994.9387,,,9/4/17,515524.4284,1031048.857,9/4/17,1031048.857,,
1.50451E+18,512384.4548,,,9/4/17,516994.9387,1033989.877,9/4/17,1033989.877,,
